symbol,atomic_number,atomic_radius,atomic_volume,boiling_point,density,dipole_polarizability,lattice_constant,melting_point,specific_heat,vdw_radius,covalent_radius_cordero,covalent_radius_pyykko,en_pauling,heat_of_formation,covalent_radius_slater,vdw_radius_uff,vdw_radius_mm3,abundance_crust,en_ghosh,vdw_radius_alvarez,c6_gb,atomic_weight,atomic_radius_rahm,covalent_radius_pyykko_double,mendeleev_number,pettifor_number,glawe_number
H,1,79.0,14.1,20.28,0.0708,4.50711,3.75,14.01,,110.0,31.0,32.0,2.2,217.998,25.0,288.6,162.0,1400.0,0.2638,120.0,6.51,1.008,154.0,,105,103.0,103.0
He,2,,31.8,4.216,0.147,1.38375,3.57,0.95,5.188,140.0,28.000000000000004,46.0,,,,236.2,153.0,0.008,0.442712,143.0,1.47,4.0026019999999995,134.0,,112,1.0,1.0
Li,3,155.0,13.1,1118.15,0.534,164.1125,3.49,553.69,3.489,182.0,128.0,133.0,0.98,159.3,145.0,245.1,255.0,20.0,0.105093,212.0,1410.0,6.94,220.00000000000003,124.0,1,12.0,12.0
Be,4,112.0,5.0,3243.0,1.848,37.74,2.29,1551.0,1.824,153.0,96.0,102.0,1.57,324.0,105.0,274.5,223.0,2.8,0.144986,198.0,214.0,9.0121831,219.0,90.0,75,77.0,77.0
B,5,98.0,4.6,3931.0,2.34,20.5,8.73,2573.0,1.025,192.0,84.0,85.0,2.04,565.0,85.0,408.3,215.0,10.0,0.184886,191.0,99.2,10.81,205.0,78.0,81,86.0,86.0
C,6,91.0,5.3,5100.0,2.25,11.3,3.57,3820.0,0.711,170.0,73.0,75.0,2.55,716.87,70.0,385.1,204.0,200.0,0.22477600000000006,177.0,47.9,12.011,190.0,67.0,87,95.0,87.0
N,7,92.0,17.3,77.4,0.8079999999999999,7.4,4.039,63.29,,155.0,71.0,71.0,3.04,472.44,65.0,366.0,193.0,19.0,0.26493,166.0,25.7,14.007,179.0,60.0,93,100.0,88.0
O,8,,14.0,90.19,1.149,5.3,6.83,54.8,,152.0,66.0,63.0,3.44,249.229,60.0,350.0,182.0,461000.0,0.304575,150.0,16.7,15.999,171.0,57.0,99,101.0,97.0
F,9,,17.1,85.01,1.1079999999999999,3.74,,53.53,,147.0,56.99999999999999,64.0,3.98,79.335,50.0,336.4,171.0,585.0,0.344443,146.0,10.2,18.998403163,163.0,59.0,106,102.0,102.0
Ne,10,,16.8,27.1,1.204,2.6611,4.43,48.0,1.0290000000000001,154.0,57.99999999999999,67.0,,,,324.3,160.0,0.005,0.38439,158.0,6.91,20.1797,156.0,96.0,113,2.0,2.0
Na,11,190.0,23.7,1156.1,0.971,162.7,4.23,370.96,1.222,227.0,166.0,155.0,0.93,107.5,180.0,298.3,270.0,23600.0,0.093214,250.0,1570.0,22.98976928,225.0,160.0,2,11.0,11.0
Mg,12,160.0,14.0,1363.0,1.7380000000000002,71.2,3.21,922.0,1.025,173.0,141.0,139.0,1.31,147.1,150.0,302.1,243.00000000000003,23300.0,0.121644,251.0,629.0,24.305,240.0,132.0,76,73.0,73.0
Al,13,143.0,10.0,2740.0,2.6989,57.8,4.05,933.5,0.9,184.0,121.0,126.0,1.61,330.9,125.0,449.9,236.0,82300.0,0.150078,225.0,520.0,26.9815385,239.0,113.0,82,80.0,78.0
Si,14,132.0,12.1,2628.0,2.33,37.3,5.43,1683.0,0.703,210.0,111.0,116.0,1.9,450.0,110.0,429.5,229.0,282000.0,0.178503,219.0,308.0,28.085,232.0,107.0,88,85.0,85.0
P,15,128.0,17.0,553.0,1.82,25.0,7.17,317.3,0.757,180.0,107.0,111.0,2.19,316.5,100.0,414.7000000000001,222.00000000000003,1050.0,0.206931,190.0,187.0,30.973761998,223.0,102.0,94,90.0,89.0
S,16,127.0,15.5,717.824,2.07,19.4,10.47,386.0,0.732,180.0,105.0,103.0,2.58,277.17,100.0,403.5,215.0,350.0,0.23596,189.0,140.0,32.06,214.0,94.0,100,94.0,96.0
Cl,17,,18.7,238.6,1.56,14.6,6.24,172.2,,175.0,102.0,99.0,3.16,121.302,100.0,394.7,207.0,145.0,0.263803,182.0,97.1,35.45,206.0,95.0,107,99.0,101.0
Ar,18,,24.2,87.3,1.4,11.083,5.26,83.8,0.138,188.0,106.0,96.0,,,,386.8,199.0,3.5,0.2922,194.0,67.4,39.948,197.0,107.0,114,3.0,3.0
K,19,235.0,45.3,1047.0,0.856,289.7,5.23,336.8,0.753,275.0,203.0,196.0,0.82,89.0,220.00000000000003,381.2,309.0,20900.0,0.0981896,273.0,3910.0,39.0983,234.0,193.0,3,10.0,10.0
